SBBR;KMIA
SBGR;KLAX
SBGR;KMIA
SBGL;KDFW
SBGL;KMIA
SBGR;KJFK
SBGR;KDFW
SBEG;KMIA
SBGL;KJFK
SBCF;KMIA
SBFZ;SBGR
SBEG;SBPV
SBGR;SBRJ
SBCT;SBFI
SBRF;SBMO
SBCF;SBGR
SBCF;SBSV
SBGR;SBCF
SBSV;SBIL
SBKP;SBRF
SBKP;SBCF
SBKP;SBKP
SBCF;SBKP
SBPA;SBRJ
SBCF;SBBR
SBCF;SBRF
SBCY;SBGR
SBKP;SBCG
SBPA;SBSP
SBFZ;SBRF
SBKP;SBLO
SBKP;SBPA
SBFL;SBPA
SBKP;SBFL
SBMO;SBRF
SBRF;SBRF
SBKP;SBSV
SBBR;SBCF
SBKP;SBDN
SBRF;SBJP
SBRF;SBJU
SBRF;SBPL
SBEG;SBKP
SBEG;SBEG
SBKP;SBEG
SBJP;SBRF
SBCT;SBGR
SBRF;SBSG
SBCT;SBLO
SBCY;SBLO
SBGR;SBCY
SBSV;SBCF
SBCT;SBSP
SBCF;SBSP
SBFL;SBKP
SBKP;SBMG
SBCT;SBCT
SBCT;SBCF
SBRF;SBBE
SBMQ;SBBE
SBRF;SBMQ
SBKP;SBJU
SBKP;SBPL
SBCF;SBVT
SBKP;SBFI
SBFI;SBKP
SBCF;SBUL
SBCF;SBGO
SBCF;SBCF
SBSG;SBRF
SBSV;SBKP
SBBR;SBBR
SBKP;SBBR
SBCF;SBPA
SBBR;SBGR
SBSV;SBRF
SBRF;SBSV
SBCF;SBRJ
SBCF;SBGL
SBCY;SBKP
SBKP;SBRP
SBRF;SBRP
SBGL;SBCF
SBGR;SBRF
SBPV;SBEG
SBRF;SBGR
SBRF;SBCF
SBCF;SBIL
SBCT;SBPS
SBCF;SBCY
SBCY;SBPV
SBCY;SBCF
SBPV;SBCY
SBCG;SBCY
SBPV;SBCG
SBPA;SBKP
SBPA;SBGR
SBPA;SBPA
SBGR;SBPA
SBCY;SBCY
SBBR;SBKP
SBGR;SBIL
SBKP;SBCH
SBCG;SBKP
SBKP;SBRJ
SBKP;SBCY
SBEG;SBFZ
SBFZ;SBEG
SBCT;SBKP
SBEG;SBSN
SBSN;SBBE
SBBE;SBSN
SBSN;SBEG
SBPA;SBFI
SBFI;SBPA
SBFI;SBCT
SBKP;SBGL
SBCF;SBFI
SBFI;SBCF
SBCF;SBRP
SBCY;SBGO
SBRF;SBAR
SBRF;SBKP
SBCF;SBPS
SBBE;SBRF
SBPA;SBFL
SBRF;SBTE
SBCF;SBFZ
SBGL;SBKP
SBCF;SBMO
SBMO;SBCF
SBCF;SBSG
SBSG;SBCF
SBCF;SBMK
SBCT;SBRF
SBPA;SBCT
SBCT;SBPA
SBRF;SBCT
SBFZ;SBCF
SBEG;SBTT
SBTT;SBEG
SBRF;SBFZ
SBKP;SBCT
SBGR;SBCT
SBFL;SBGR
SBCF;SBCB
SBCB;SBCF
SBEG;SBBV
SBBV;SBEG
SBBE;SBFZ
SBCT;SBCG
SBBE;SBMA
SBBR;SBCY
SBKP;SBFZ
SBFZ;SBKP
SBFZ;SBFZ
SBFL;SBLO
SBGR;SBVT
SBCY;SBBR
SBCF;SBCT
SBCG;SBCG
SBFL;SBFI
SBFI;SBFL
SBCG;SBCT
SBCY;SBCG
SBGL;SBRF
SBRF;SBGL
SBCT;SBRJ
SBCT;SBGL
SBCT;SBMG
SBCF;SBJP
SBJP;SBCF
SBMO;SBKP
SBKP;SBVT
SBPV;SBCF
SBKP;SBGO
SBKP;SBTE
